county,registered_voters,per_turnout,not_voted,orourke,per_orourke,abbott,per_abbott,last_updated,winning,margin
ANDERSON,29494,0.48976062928053166,15049,2545,17.62,11762,81.43,"Dec 13, 2022, 10:49PM",Greg Abbott,9217
ANDREWS,10369,0.36927379689458967,6540,479,12.51,3302,86.24,"Dec 13, 2022, 10:49PM",Greg Abbott,2823
ANGELINA,54088,0.45472193462505545,29493,5174,21.04,19142,77.83,"Dec 13, 2022, 10:49PM",Greg Abbott,13968
ARANSAS,18821,0.5122469581850061,9180,1924,19.96,7581,78.63,"Dec 13, 2022, 10:49PM",Greg Abbott,5657
ARCHER,6557,0.5868537440902852,2709,315,8.19,3498,90.9,"Dec 13, 2022, 10:49PM",Greg Abbott,3183
ARMSTRONG,1445,0.6249134948096886,542,60,6.64,833,92.25,"Dec 13, 2022, 10:49PM",Greg Abbott,773
ATASCOSA,29927,0.4243325425201323,17228,3709,29.21,8801,69.3,"Dec 13, 2022, 10:49PM",Greg Abbott,5092
AUSTIN,20848,0.5374616270145818,9643,1873,16.72,9209,82.19,"Dec 13, 2022, 10:49PM",Greg Abbott,7336
BAILEY,3501,0.38074835761211084,2168,213,15.98,1105,82.9,"Dec 13, 2022, 10:49PM",Greg Abbott,892
BANDERA,17963,0.5834214774814898,7483,1816,17.33,8527,81.36,"Dec 13, 2022, 10:49PM",Greg Abbott,6711
BASTROP,55779,0.5240681977088152,26547,12007,41.07,16707,57.15,"Dec 13, 2022, 10:49PM",Greg Abbott,4700
BAYLOR,2381,0.5489290214195716,1074,105,8.03,1183,90.51,"Dec 13, 2022, 10:49PM",Greg Abbott,1078
BEE,15744,0.4070121951219512,9336,1976,30.84,4347,67.84,"Dec 13, 2022, 10:49PM",Greg Abbott,2371
BELL,227727,0.38614657023541343,139791,34785,39.56,51888,59.01,"Dec 13, 2022, 10:49PM",Greg Abbott,17103
BEXAR,1230662,0.4394122837952257,689894,311023,57.52,221993,41.05,"Dec 13, 2022, 10:49PM",Beto O'Rourke,89030
BLANCO,10137,0.6682450429121042,3363,1522,22.47,5142,75.91,"Dec 13, 2022, 10:49PM",Greg Abbott,3620
BORDEN,462,0.6861471861471862,145,9,2.84,306,96.53,"Dec 13, 2022, 10:49PM",Greg Abbott,297
BOSQUE,13079,0.570991666029513,5611,1099,14.72,6278,84.07,"Dec 13, 2022, 10:49PM",Greg Abbott,5179
BOWIE,60986,0.43577214442658974,34410,6060,22.8,20206,76.03,"Dec 13, 2022, 10:49PM",Greg Abbott,14146
BRAZORIA,234988,0.46783665548879094,125052,43364,39.44,64938,59.07,"Dec 13, 2022, 10:49PM",Greg Abbott,21574
BRAZOS,126123,0.47536135359926424,66169,23103,38.53,35768,59.66,"Dec 13, 2022, 10:49PM",Greg Abbott,12665
BREWSTER,7513,0.5008651670437908,3750,1678,44.59,2014,53.52,"Dec 13, 2022, 10:49PM",Greg Abbott,336
BRISCOE,994,0.5955734406438632,402,49,8.28,539,91.05,"Dec 13, 2022, 10:49PM",Greg Abbott,490
BROOKS,5152,0.38975155279503104,3144,1204,59.96,785,39.09,"Dec 13, 2022, 10:49PM",Beto O'Rourke,419
BROWN,24674,0.49789251844046367,12389,1308,10.65,10853,88.34,"Dec 13, 2022, 10:49PM",Greg Abbott,9545
BURLESON,12901,0.5202697465312767,6189,1142,17.01,5506,82.03,"Dec 13, 2022, 10:49PM",Greg Abbott,4364
BURNET,36364,0.5805466945330546,15253,4337,20.54,16505,78.18,"Dec 13, 2022, 10:49PM",Greg Abbott,12168
CALDWELL,25248,0.4498574144486692,13890,4790,42.17,6351,55.92,"Dec 13, 2022, 10:49PM",Greg Abbott,1561
CALHOUN,12874,0.4343638340842007,7282,1292,23.1,4228,75.61,"Dec 13, 2022, 10:49PM",Greg Abbott,2936
CALLAHAN,10020,0.5255489021956088,4754,444,8.43,4770,90.58,"Dec 13, 2022, 10:49PM",Greg Abbott,4326
CAMERON,227694,0.33859038885521797,150599,41667,54.05,34290,44.48,"Dec 13, 2022, 10:49PM",Beto O'Rourke,7377
CAMP,8041,0.4953364009451561,4058,863,21.67,3082,77.38,"Dec 13, 2022, 10:49PM",Greg Abbott,2219
CARSON,4162,0.5752042287361845,1768,183,7.64,2177,90.94,"Dec 13, 2022, 10:49PM",Greg Abbott,1994
CASS,21145,0.4714589737526602,11176,1460,14.65,8415,84.41,"Dec 13, 2022, 10:49PM",Greg Abbott,6955
CASTRO,3637,0.4105031619466593,2144,239,16.01,1226,82.12,"Dec 13, 2022, 10:49PM",Greg Abbott,987
CHAMBERS,33155,0.474619212788418,17419,2559,16.26,12964,82.38,"Dec 13, 2022, 10:49PM",Greg Abbott,10405
CHEROKEE,30080,0.48148271276595744,15597,2323,16.04,12023,83.01,"Dec 13, 2022, 10:49PM",Greg Abbott,9700
CHILDRESS,3675,0.4764625850340136,1924,162,9.25,1562,89.21,"Dec 13, 2022, 10:49PM",Greg Abbott,1400
CLAY,8066,0.5562856434416067,3579,393,8.76,4052,90.31,"Dec 13, 2022, 10:49PM",Greg Abbott,3659
COCHRAN,1738,0.35443037974683544,1122,95,15.42,506,82.14,"Dec 13, 2022, 10:49PM",Greg Abbott,411
COKE,2265,0.6132450331125828,876,114,8.21,1260,90.71,"Dec 13, 2022, 10:49PM",Greg Abbott,1146
COLEMAN,5986,0.541095890410959,2747,269,8.31,2942,90.83,"Dec 13, 2022, 10:49PM",Greg Abbott,2673
COLLIN,693753,0.5258052938149457,328974,161737,44.34,198236,54.34,"Dec 13, 2022, 10:49PM",Greg Abbott,36499
COLLINGSWORTH,1858,0.49784714747039827,933,75,8.11,845,91.35,"Dec 13, 2022, 10:49PM",Greg Abbott,770
COLORADO,14345,0.5260369466713141,6799,1395,18.49,6084,80.63,"Dec 13, 2022, 10:49PM",Greg Abbott,4689
COMAL,130109,0.574618204736029,55346,19195,25.67,54503,72.9,"Dec 13, 2022, 10:49PM",Greg Abbott,35308
COMANCHE,9832,0.4908462164361269,5006,567,11.75,4203,87.09,"Dec 13, 2022, 10:49PM",Greg Abbott,3636
CONCHO,1731,0.5447718082033507,788,109,11.56,818,86.74,"Dec 13, 2022, 10:49PM",Greg Abbott,709
COOKE,28699,0.5339907313843688,13374,2308,15.06,12815,83.62,"Dec 13, 2022, 10:49PM",Greg Abbott,10507
CORYELL,42839,0.38208174793996125,26471,4450,27.19,11652,71.19,"Dec 13, 2022, 10:49PM",Greg Abbott,7202
COTTLE,956,0.5376569037656904,442,54,10.51,453,88.13,"Dec 13, 2022, 10:49PM",Greg Abbott,399
CRANE,2670,0.4295880149812734,1523,150,13.08,983,85.7,"Dec 13, 2022, 10:49PM",Greg Abbott,833
CROCKETT,2260,0.5632743362831858,987,276,21.68,964,75.73,"Dec 13, 2022, 10:49PM",Greg Abbott,688
CROSBY,3525,0.3557446808510638,2271,255,20.33,990,78.95,"Dec 13, 2022, 10:49PM",Greg Abbott,735
CULBERSON,1599,0.46028767979987495,863,328,44.57,391,53.12,"Dec 13, 2022, 10:49PM",Greg Abbott,63
DALLAM,2898,0.36231884057971014,1848,78,7.43,958,91.24,"Dec 13, 2022, 10:49PM",Greg Abbott,880
DALLAS,1420223,0.4403470440909632,794832,392634,62.78,224684,35.93,"Dec 13, 2022, 10:49PM",Beto O'Rourke,167950
DAWSON,6919,0.36363636363636365,4403,402,15.98,2088,82.99,"Dec 13, 2022, 10:49PM",Greg Abbott,1686
DEAF SMITH,8764,0.33626198083067094,5817,635,21.55,2281,77.4,"Dec 13, 2022, 10:49PM",Greg Abbott,1646
DELTA,3975,0.509937106918239,1948,295,14.55,1711,84.41,"Dec 13, 2022, 10:49PM",Greg Abbott,1416
DENTON,606275,0.5241532307946064,288494,136389,42.92,177017,55.7,"Dec 13, 2022, 10:49PM",Greg Abbott,40628
DEWITT,12174,0.4978643009692788,6113,878,14.49,5151,84.99,"Dec 13, 2022, 10:49PM",Greg Abbott,4273
DICKENS,1370,0.5773722627737227,579,98,12.39,684,86.47,"Dec 13, 2022, 10:49PM",Greg Abbott,586
DIMMIT,6982,0.4119163563448868,4106,1757,61.09,1080,37.55,"Dec 13, 2022, 10:49PM",Beto O'Rourke,677
DONLEY,2225,0.5357303370786517,1033,97,8.14,1084,90.94,"Dec 13, 2022, 10:49PM",Greg Abbott,987
DUVAL,8129,0.45220814368310985,4453,2018,54.9,1600,43.53,"Dec 13, 2022, 10:49PM",Beto O'Rourke,418
EASTLAND,12282,0.5007327796775769,6132,634,10.31,5468,88.91,"Dec 13, 2022, 10:49PM",Greg Abbott,4834
ECTOR,83323,0.3054258728082282,57874,5950,23.38,19212,75.49,"Dec 13, 2022, 10:49PM",Greg Abbott,13262
EDWARDS,1461,0.5571526351813826,647,99,12.16,712,87.47,"Dec 13, 2022, 10:49PM",Greg Abbott,613
ELLIS,131057,0.5171032451528724,63287,21338,31.49,45564,67.23,"Dec 13, 2022, 10:49PM",Greg Abbott,24226
EL PASO,506554,0.3266107858194783,341108,105156,63.56,57573,34.8,"Dec 13, 2022, 10:49PM",Beto O'Rourke,47583
ERATH,24860,0.5275543041029767,11745,1976,15.07,10956,83.54,"Dec 13, 2022, 10:49PM",Greg Abbott,8980
FALLS,10302,0.4565132983886624,5599,1168,24.84,3480,74.0,"Dec 13, 2022, 10:49PM",Greg Abbott,2312
FANNIN,23363,0.49929375508282325,11698,1831,15.7,9694,83.1,"Dec 13, 2022, 10:49PM",Greg Abbott,7863
FAYETTE,17810,0.5895564289724874,7310,1748,16.65,8649,82.37,"Dec 13, 2022, 10:49PM",Greg Abbott,6901
FISHER,2681,0.5225662066393136,1280,210,14.99,1172,83.65,"Dec 13, 2022, 10:49PM",Greg Abbott,962
FLOYD,3669,0.39983646770237125,2202,201,13.7,1250,85.21,"Dec 13, 2022, 10:49PM",Greg Abbott,1049
FOARD,824,0.6419902912621359,295,69,13.04,452,85.44,"Dec 13, 2022, 10:49PM",Greg Abbott,383
FORT BEND,521611,0.4794109019940147,271545,129116,51.63,117249,46.89,"Dec 13, 2022, 10:49PM",Beto O'Rourke,11867
FRANKLIN,7228,0.5419203099059214,3311,512,13.07,3369,86.01,"Dec 13, 2022, 10:49PM",Greg Abbott,2857
FREESTONE,12749,0.5224723507726096,6088,991,14.88,5600,84.07,"Dec 13, 2022, 10:49PM",Greg Abbott,4609
FRIO,9114,0.40904103576914635,5386,1791,48.04,1872,50.21,"Dec 13, 2022, 10:49PM",Greg Abbott,81
GAINES,9897,0.41558047893301,5784,311,7.56,3761,91.44,"Dec 13, 2022, 10:49PM",Greg Abbott,3450
GALVESTON,235262,0.4706837483316473,124528,40229,36.33,68822,62.15,"Dec 13, 2022, 10:49PM",Greg Abbott,28593
GARZA,2659,0.45129748025573524,1459,135,11.25,1056,88.0,"Dec 13, 2022, 10:49PM",Greg Abbott,921
GILLESPIE,21123,0.6338588268711831,7734,2421,18.08,10801,80.67,"Dec 13, 2022, 10:49PM",Greg Abbott,8380
GLASSCOCK,813,0.7035670356703567,241,27,4.72,542,94.76,"Dec 13, 2022, 10:49PM",Greg Abbott,515
GOLIAD,5771,0.5832611332524692,2405,663,19.7,2664,79.14,"Dec 13, 2022, 10:49PM",Greg Abbott,2001
GONZALES,12685,0.43878596767836026,7119,1129,20.28,4369,78.49,"Dec 13, 2022, 10:49PM",Greg Abbott,3240
GRAY,12611,0.44072635001189436,7053,478,8.6,5013,90.19,"Dec 13, 2022, 10:49PM",Greg Abbott,4535
GRAYSON,92038,0.4888307003628936,47047,9563,21.26,34903,77.58,"Dec 13, 2022, 10:49PM",Greg Abbott,25340
GREGG,73931,0.4492702655178477,40716,8662,26.08,24223,72.93,"Dec 13, 2022, 10:49PM",Greg Abbott,15561
GRIMES,19170,0.492018779342723,9738,1732,18.36,7607,80.65,"Dec 13, 2022, 10:49PM",Greg Abbott,5875
GUADALUPE,119523,0.47858571153669166,62321,19356,33.84,36882,64.48,"Dec 13, 2022, 10:49PM",Greg Abbott,17526
HALE,18458,0.3428865532560407,12129,1165,18.41,5094,80.49,"Dec 13, 2022, 10:49PM",Greg Abbott,3929
HALL,1832,0.4787117903930131,955,94,10.72,772,88.03,"Dec 13, 2022, 10:49PM",Greg Abbott,678
HAMILTON,5964,0.5828303152246814,2488,433,12.46,3006,86.48,"Dec 13, 2022, 10:49PM",Greg Abbott,2573
HANSFORD,2970,0.5124579124579125,1448,91,5.98,1419,93.23,"Dec 13, 2022, 10:49PM",Greg Abbott,1328
HARDEMAN,2459,0.4005693371289142,1474,114,11.57,866,87.92,"Dec 13, 2022, 10:49PM",Greg Abbott,752
HARDIN,41408,0.47403883307573413,21779,2035,10.37,17447,88.88,"Dec 13, 2022, 10:49PM",Greg Abbott,15412
HARRIS,2568463,0.4292131130563298,1466045,595653,54.03,490261,44.47,"Dec 13, 2022, 10:49PM",Beto O'Rourke,105392
HARRISON,45789,0.46640022712878637,24433,4688,21.95,16472,77.13,"Dec 13, 2022, 10:49PM",Greg Abbott,11784
HARTLEY,2682,0.586875466070097,1108,96,6.1,1463,92.95,"Dec 13, 2022, 10:49PM",Greg Abbott,1367
HASKELL,3375,0.4948148148148148,1705,191,11.44,1465,87.72,"Dec 13, 2022, 10:49PM",Greg Abbott,1274
HAYS,167750,0.5346229508196721,78067,48970,54.6,39085,43.58,"Dec 13, 2022, 10:49PM",Beto O'Rourke,9885
HEMPHILL,2303,0.5909683022145028,942,138,10.14,1198,88.02,"Dec 13, 2022, 10:49PM",Greg Abbott,1060
HENDERSON,58253,0.480696273153314,30251,4798,17.13,22909,81.81,"Dec 13, 2022, 10:49PM",Greg Abbott,18111
HIDALGO,416978,0.33861738508986083,275782,82671,58.55,56783,40.22,"Dec 13, 2022, 10:49PM",Beto O'Rourke,25888
HILL,25006,0.4552907302247461,13621,1830,16.07,9418,82.72,"Dec 13, 2022, 10:49PM",Greg Abbott,7588
HOCKLEY,13510,0.40940044411547,7979,786,14.21,4690,84.79,"Dec 13, 2022, 10:49PM",Greg Abbott,3904
HOOD,48651,0.5596596164518715,21423,4301,15.8,22596,82.99,"Dec 13, 2022, 10:49PM",Greg Abbott,18295
HOPKINS,24724,0.49955508817343475,12373,1999,16.18,10223,82.77,"Dec 13, 2022, 10:49PM",Greg Abbott,8224
HOUSTON,13472,0.5332541567695962,6288,1399,19.47,5726,79.7,"Dec 13, 2022, 10:49PM",Greg Abbott,4327
HOWARD,16934,0.3878587457186725,10366,1077,16.4,5367,81.71,"Dec 13, 2022, 10:49PM",Greg Abbott,4290
HUDSPETH,2097,0.43204577968526464,1191,270,29.8,606,66.89,"Dec 13, 2022, 10:49PM",Greg Abbott,336
HUNT,64334,0.47471010663101937,33794,6422,21.03,23744,77.75,"Dec 13, 2022, 10:49PM",Greg Abbott,17322
HUTCHINSON,13333,0.45466136653416334,7271,540,8.91,5437,89.69,"Dec 13, 2022, 10:49PM",Greg Abbott,4897
IRION,1229,0.565500406834825,534,70,10.07,618,88.92,"Dec 13, 2022, 10:49PM",Greg Abbott,548
JACK,5603,0.5341781188648939,2610,227,7.58,2744,91.68,"Dec 13, 2022, 10:49PM",Greg Abbott,2517
JACKSON,9552,0.4812604690117253,4955,550,11.96,4013,87.3,"Dec 13, 2022, 10:49PM",Greg Abbott,3463
JASPER,23739,0.47933779855933273,12360,1601,14.07,9701,85.25,"Dec 13, 2022, 10:49PM",Greg Abbott,8100
JEFF DAVIS,1584,0.6628787878787878,534,374,35.62,641,61.05,"Dec 13, 2022, 10:49PM",Greg Abbott,267
JEFFERSON,147873,0.42232861982917774,85422,26641,42.66,34988,56.02,"Dec 13, 2022, 10:49PM",Greg Abbott,8347
JIM HOGG,3702,0.4165316045380875,2160,876,56.81,650,42.15,"Dec 13, 2022, 10:49PM",Beto O'Rourke,226
JIM WELLS,26593,0.35885383371563945,17050,4375,45.85,5063,53.05,"Dec 13, 2022, 10:49PM",Greg Abbott,688
JOHNSON,116736,0.4785498903508772,60872,12266,21.96,42954,76.89,"Dec 13, 2022, 10:49PM",Greg Abbott,30688
